Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Liver Cancer,2010,NICHD,1F31HD068611-01,,The Role of HNF4alpha in Cell Proliferation,"VUONG, LINH",UNIVERSITY OF CALIFORNIA RIVERSIDE,CA,"$31,561"
Liver Cancer,2010,NCI,7R01CA094076-09,,ROLE OF ENZYME INDUCTION IN CANCER CHEMOPREVENTION,"KENSLER, THOMAS",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$397,876"
Liver Cancer,2010,NIDDK,1R01DK090317-01,,Clinical Outcomes and the HCV Core Gene,"BRANCH, ANDREA",MOUNT SINAI SCHOOL OF MEDICINE,NY,"$423,750"
Liver Cancer,2010,NIMHD,1R01MD005819-01,,Prevention of hepatocellular carcinoma in vulnerable communities in Texas,"PHILLIPS, TIMOTHY",TEXAS A&M UNIVERSITY SYSTEM,TX,"$380,046"
Liver Cancer,2010,NCI,3R01CA118165-04S1,,Role of inflammation in tumor promotion and progression,"KARIN, MICHAEL",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$32,187"
Liver Cancer,2010,NCI,5P30CA077598-12,5746,Carcinogenesis & Chemoprevention,"HECHT, STEPHEN",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$30,006"
Liver Cancer,2010,NIDDK,1R01DK083479-01A2,,Hepatitis C Virus-Induced Liver Pathogenesis,"SIDDIQUI, ALEEM",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$386,250"
Liver Cancer,2010,NIEHS,3R44ES012618-05S1,,Predictive Genes Sets For Chemically-Induced Liver Cancer,"NAUGHTON, BRIAN","REGENEMED, INC.",CA,"$100,000"
Liver Cancer,2010,NIEHS,5P42ES016465-02,6110,Project 1: Environmental PAH Mixtures as Skin and Transplacental Carcinogens,"BAIRD, WILLIAM",OREGON STATE UNIVERSITY,OR,"$329,560"
Liver Cancer,2010,NIAAA,1F32AA020150-01,,ROLE OF S-ADENOSYLMETHIONINE ON UBC9 AND SUMOYLATION IN LIVER CANCER AND ALCOHOLI,"TOMASI, MARIA",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$47,906"
Liver Cancer,2010,NIAAA,1R01AA020211-01,,Role of the Gut Microbiota and TLR4 in Alcoholic Hepatocarcinogenesis,"SCHWABE, ROBERT",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$431,663"
Liver Cancer,2010,NCI,5P01CA123328-04,0001,TRANSGENIC MICE AS A MODEL FOR HBV REPLICATION AND ONCOGENESIS,"OU, J.-H. JAMES",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$308,240"
