Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Liver Cancer,2011,NCI,5R01CA124648-05,,An integrative approach to cancer gene discovery in hepatocellular carcinoma,"POWERS, SCOTT",COLD SPRING HARBOR LABORATORY,NY,"$435,619"
Liver Cancer,2011,NCI,5R01CA078814-13,,New Triterpenoids for Chemoprevention and Therapy of Cancer,"SPORN, MICHAEL",DARTMOUTH COLLEGE,NH,"$340,825"
Liver Cancer,2011,NCI,5R01CA086978-09,,Molecular mechanism of diet induced carcinogenesis,"JACOB, SAMSON",OHIO STATE UNIVERSITY,OH,"$303,052"
Liver Cancer,2011,NCI,5R01CA135030-03,,MicroRNAs as Targets for the Treatment of Hepatocellular Carcinoma,"CROCE, CARLO",OHIO STATE UNIVERSITY,OH,"$516,908"
Liver Cancer,2011,NCI,5R01CA126807-04,,HCV genetic variation and hepatocellular carcinoma,"TAVIS, JOHN",SAINT LOUIS UNIVERSITY,MO,"$266,288"
Liver Cancer,2011,NIEHS,5R01ES016313-04,,The Environment as a Variable to Calibrate Mouse Models of Human Disease,"ESSIGMANN, JOHN",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,"$565,382"
Liver Cancer,2011,NCI,5R01CA132962-02,,A Genetic Screen for HCC Genes,"LARGAESPADA, DAVID",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$302,919"
Liver Cancer,2011,NIDDK,5R01DK078686-04,,Genetic and epigenetic regulation of Hepatitis B contributes to liver cancer,"TORBENSON, MICHAEL",JOHNS HOPKINS UNIVERSITY,MD,"$341,564"
Liver Cancer,2011,NCRR,5R44RR022501-03,,Laser Tissue Welding compared to Radio frequency ablation for surgical treatment,"WADIA, YASMIN","LASER TISSUE WELDING, INC.",TX,"$430,631"
Liver Cancer,2011,NCI,5R01CA144034-02,,Prospective studies of cancer etiology and prevention in Shanghai and Singapore,"YUAN, JIAN-MIN",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$1,464,951"
Liver Cancer,2011,NIDDK,5K08DK083507-02,,Role of Bile Acids in the Initiation of Liver Regeneration,"NAUGLER, WILLSCOTT",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$148,500"
Liver Cancer,2011,NCI,5R01CA118165-05,,Role of inflammation in tumor promotion and progression,"KARIN, MICHAEL",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$445,260"
Liver Cancer,2011,NCI,5R01CA124488-05,,Cell Penetrating Peptide Inhibitor of FoxM1 in Hepatocellular Carcinoma Treatment,"RAYCHAUDHURI, PRADIP",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$277,864"
Liver Cancer,2011,NCI,5R01CA120719-03,,"Markers for HCV-related HCC: plasma profiling, targeted strategies and validation","BERETTA, LAURA",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$354,244"
Liver Cancer,2011,NCI,1R01CA155297-01,,Biomarkers of Opisthorchis viverrini-induced cholangiocarcinoma,"BRINDLEY, PAUL",GEORGE WASHINGTON UNIVERSITY,DC,"$571,147"
Liver Cancer,2011,NIA,5R01AG016927-13,,The Role of Akt in Cell Survival and Cell Growth,"HAY, NISSIM",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$397,906"
Liver Cancer,2011,NIAAA,1R21AA020020-01,,DISEASE MODELING OF ALCOHOL RELATED HEPATOCELLULAR CARCINOMA USING PATIENT IPSCS,"JANG, YOON-YOUNG",JOHNS HOPKINS UNIVERSITY,MD,"$194,750"
Liver Cancer,2011,NCI,5F31CA136183-03,,FoxM1 and Oncogenic Pathways in Hepatocellular Carcinoma,"CARR, JANAI",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$46,800"
Liver Cancer,2011,NCI,5R01CA143204-02,,"The role of glutaminase 2, a novel p53 target gene in metabolism, in liver cancer","FENG, ZHAOHUI",UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,NJ,"$314,790"
Liver Cancer,2011,NIDDK,5R03DK085445-02,,PGE2 and wnt signaling during zebrafish liver development and regeneration,"GOESSLING, WOLFRAM",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$88,214"
Liver Cancer,2011,NCI,5R01CA127387-05,,Role of the RB tumor suppressor in liver tumorigenesis,"KNUDSEN, ERIK",THOMAS JEFFERSON UNIVERSITY,PA,"$310,970"
Liver Cancer,2011,NCI,5U01CA120475-05,,The Role of mTOR Signaling in Hepatocellular Carcinogenesis,"KOZMA, SARA",UNIVERSITY OF CINCINNATI,OH,"$287,508"
Liver Cancer,2011,NCI,5R01CA129414-04,,Evaluation of novel FoxM1 inhibitors against liver cancer,"GARTEL, ANDREI",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$316,002"
Liver Cancer,2011,NCI,5R01CA139059-03,,Human engineered enzymes for L-Arg depletion chemotherapy,"GEORGIOU, GEORGE",UNIVERSITY OF TEXAS AUSTIN,TX,"$330,641"
Liver Cancer,2011,NCI,1R01CA139158-01A2,,INVESTIGATION OF THE ROLES OF NUCLEAR RECEPTOR FXR IN HEPATOCELLULAR,"HUANG, WENDONG",CITY OF HOPE/BECKMAN RESEARCH INSTITUTE,CA,"$344,450"
Liver Cancer,2011,NCI,5R21CA149708-02,,ErbB Receptor Signaling in DEN-induced Murine Hepatocarcinogenesis,"RUSSELL, WILLIAM",VANDERBILT UNIVERSITY,TN,"$164,297"
Liver Cancer,2011,NCI,5R01CA136606-03,,Molecular Genetics of Liver Cancers,"CHEN, XIN",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$306,316"
Liver Cancer,2011,NCI,5R01CA053596-21,,"Retinoids, Nuclear Receptors, and Hepatocyte Proliferation","WAN, YU-JUI",UNIVERSITY OF KANSAS MEDICAL CENTER,KS,"$319,727"
Liver Cancer,2011,NIDDK,5R01DK055759-13,,Gene Targeting and Integration by Adeno-Associated Virus Vectors,"RUSSELL, DAVID",UNIVERSITY OF WASHINGTON,WA,"$422,687"
Liver Cancer,2011,NIDDK,7R01DK069370-07,,Mechanisms of survival signaling in biliary epithelia,"PATEL, TUSHAR",MAYO CLINIC  JACKSONVILLE,FL,"$250,619"
Liver Cancer,2011,NCI,4R37CA090426-11,,Metabolism of Carcinogens and Drugs by Human P450s,"GUENGERICH, F",VANDERBILT UNIVERSITY,TN,"$364,770"
Liver Cancer,2011,NCI,5R21CA149908-02,,Engineered lymphocytes for the treatment of hepatocellular carcinoma,"KAPLAN, DAVID",UNIVERSITY OF PENNSYLVANIA,PA,"$159,497"
Liver Cancer,2011,NCI,1K23CA149084-01A1,,Methylation and Hepatocellular Carcinoma Outcomes,"SIEGEL, ABBY",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$171,180"
Liver Cancer,2011,NCI,1U01CA140207-01A2,,Quantitative Volume and Density Response Assessment: Sarcoma and HCC as a Model,"SCHWARTZ, LAWRENCE",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$656,025"
Liver Cancer,2011,NCI,5R01CA037232-27,,HEPADNAVIRUS ASSOCIATED HEPATOCELLULAR CARCINOMA,"ROGLER, CHARLES",ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NY,"$491,862"
Liver Cancer,2011,NIDDK,5R03DK088013-02,,Mechanisms of survival of liver cancer stem cells,"ROUNTREE, CARL",PENNSYLVANIA STATE UNIV HERSHEY MED CTR,PA,"$76,775"
Liver Cancer,2011,NIDDK,5R01DK080789-03,,"Role of Uhrf1 in Liver Development, Regeneration and Carciogenesis","UKOMADU, CHINWEIKE",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$366,696"
Liver Cancer,2011,NCI,5R01CA091907-08,,Molecular and metabolic pathology of CNC-bZIP knockouts,"CHAN, JEFFERSON",UNIVERSITY OF CALIFORNIA IRVINE,CA,"$324,862"
Liver Cancer,2011,NIAAA,5R01AA009231-19,,Alcohol-induced liver fibrosis:an in vitro model,"ROJKIND, MARCOS",GEORGE WASHINGTON UNIVERSITY,DC,"$335,077"
