Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Liver Cancer,2011,NCI,5R01CA052003-20,,Elimination of dietary aflatoxin to prevent liver cancer,"LINZ, JOHN",MICHIGAN STATE UNIVERSITY,MI,"$207,142"
Liver Cancer,2011,NCI,2R01CA102537-06A2,,Role of Cten in Prostate Cancer,"LO, SU HAO",UNIVERSITY OF CALIFORNIA DAVIS,CA,"$240,370"
Liver Cancer,2011,NIGMS,5R01GM084111-04,,Role and Mechanism of Bypass Pathway Trafficking,"LINSTEDT, ADAM",CARNEGIE-MELLON UNIVERSITY,PA,"$285,186"
Liver Cancer,2011,NCI,5R01CA138540-02,,Analysis of a novel regulator of hepatocellular carcinoma,"SARKAR, DEVANAND",VIRGINIA COMMONWEALTH UNIVERSITY,VA,"$300,907"
Liver Cancer,2011,NIDDK,5R01DK080736-02,,Tumor Necrosis Superfamily Ligands and Lymphocytes Role in Liver Regeneration,"ANDERS, ROBERT",JOHNS HOPKINS UNIVERSITY,MD,"$332,497"
Liver Cancer,2011,NIAID,5R01AI076535-04,,"Combination therapies for chronic HBV, liver disease and cancer","FEITELSON, MARK",TEMPLE UNIVERSITY,PA,"$347,054"
Liver Cancer,2011,NCI,5R01CA131133-04,,Viral Vaccine Vectors to Prevent Hepatocellular Carcinoma,"ROBEK, MICHAEL",YALE UNIVERSITY,CT,"$229,117"
Liver Cancer,2011,NIDDK,5R01DK076918-04,,Hepatocellular Carcinoma in Antitrypsin Deficiency,"PERLMUTTER, DAVID",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$419,691"
Liver Cancer,2011,NIEHS,5R01ES005116-20,,Biological Markers of Aflatoxin Exposure and Methylation,"SANTELLA, REGINA",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$417,806"
Liver Cancer,2011,NCI,5R01CA055578-16,,Role of PreS2 Mutants in Pathogenesis of Chronic Hepatitis B,"PULLIAM, LYNN",NORTHERN CALIFORNIA INSTITUTE RES & EDUC,CA,"$272,098"
Liver Cancer,2011,NCI,5R01CA127481-04,,Hepatocarcinogenesis Secondary to Hepatitis C,"DASH, SRIKANTA",TULANE UNIVERSITY OF LOUISIANA,LA,"$272,731"
Liver Cancer,2011,NCI,5R01CA100830-09,,Oncolytic VSV for Hepatocellular Carcinoma,"WOO, SAVIO",MOUNT SINAI SCHOOL OF MEDICINE,NY,"$327,933"
Liver Cancer,2011,NCI,5R01CA136607-03,,Liver Cancer and the Role of Protein Hyper-Fucosylation,"BLOCK, TIMOTHY",DREXEL UNIVERSITY,PA,"$325,963"
Liver Cancer,2011,NIDDK,5R01DK083163-08,,Transcriptional Coactivators in Liver Function,"REDDY, JANARDAN",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$325,087"
Liver Cancer,2011,NIAID,5R21AI084090-02,,The role of hepatitis C virus 5' untranslated region in virus morphogenesis,"DASGUPTA, ASIM",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$185,069"
Liver Cancer,2011,NIEHS,5K08ES017283-03,,Genetic Insight Into AH Receptor-Mediated Promotion Of Hepatocarcinogenesis,"KENNEDY, GREGORY",UNIVERSITY OF WISCONSIN MADISON,WI,"$155,385"
Liver Cancer,2011,NIMHD,5R24MD002756-04,,CBPR on Hepatitis B Intervention for Underserved Korean Americans,"MA, GRACE",TEMPLE UNIVERSITY,PA,"$447,370"
Liver Cancer,2011,NIDDK,5R01DK059427-11,,Mechanisms of Carcinogenesis in Biliary Epithelia,"GORES, GREGORY",MAYO CLINIC,MN,"$267,767"
Liver Cancer,2011,NCI,5R21CA152559-02,,"Initiation, persistence, and progression of hepatocellular carcinoma","SCHMIDT, EDWARD",MONTANA STATE UNIVERSITY - BOZEMAN,MT,"$120,256"
Liver Cancer,2011,NIDDK,5R01DK056669-11,,Transcriptional control in hepatocyte proliferation,"GREENBAUM, LINDA",THOMAS JEFFERSON UNIVERSITY,PA,"$304,214"
Liver Cancer,2011,NCI,5R01CA122295-05,,Androgen Receptor Roles in Liver Cancer Incidence and Progression,"CHANG, CHAWNSHANG",UNIVERSITY OF ROCHESTER,NY,"$283,822"
Liver Cancer,2011,NIDDK,5R01DK088076-02,,Role of microRNA-122 in hepatocarcinogenesis using conditional knock out mice,"GHOSHAL, KALPANA",OHIO STATE UNIVERSITY,OH,"$313,273"
Liver Cancer,2011,NCI,5R01CA123544-05,,Biomarker for Hepatocellular Carcinoma,"WANDS, JACK",RHODE ISLAND HOSPITAL,RI,"$231,313"
Liver Cancer,2011,NCI,5R01CA132640-11,,Regulation and Function of Mammalian HSF4 in vivo,"MIVECHI, NAHID",GEORGIA  HEALTH SCIENCES UNIV RES INSTIT,GA,"$257,626"
Liver Cancer,2011,NCI,5R01CA095307-07,,Effective PET Imaging in Liver Cancer,"LEE, ZHENGHONG",CASE WESTERN RESERVE UNIVERSITY,OH,"$409,777"
Liver Cancer,2011,NCI,5R01CA093840-09,,Genesis of Liver Carcinomas with Oval Cell Traits,"MILLS, DAVID",RHODE ISLAND HOSPITAL,RI,"$353,089"
Liver Cancer,2011,NIDDK,5R03DK088012-02,,The Role of Progranulin in Cholangiocarcinoma Growth,"DEMORROW, SHARON",TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,TX,"$62,370"
Liver Cancer,2011,NIAID,5R01AI079043-02,,Innate Control of Hepatitis C Virus  Infection: Antiviral and Evasion Mechanisms,"CHISARI, FRANCIS",SCRIPPS RESEARCH INSTITUTE,CA,"$470,003"
Liver Cancer,2011,NCI,5R01CA100070-09,,Regulation of cell growth by RNA binding proteins,"TIMCHENKO, NIKOLAI",BAYLOR COLLEGE OF MEDICINE,TX,"$258,839"
Liver Cancer,2011,NCI,5R01CA095782-08,,Mechanisms of Met Induced Hepatocytes Survival,"ZARNEGAR, REZA",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$328,869"
Liver Cancer,2011,NCCAM,5K01AT003448-04,,Preclinical Studies of CAM Botanicals and Iron Overload,"MESSNER, DONALD",BASTYR UNIVERSITY,WA,"$128,580"
Liver Cancer,2011,NCI,5K25CA140791-03,,Protein interactions underlying Fas-mediated DISC in Cholangiocarcinoma,"SONG, YUHUA",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$154,060"
Liver Cancer,2011,NCI,5R01CA124414-05,,BETA-CATENIN AS A THERAPEUTIC TARGET IN HEPATOCELLULAR CANCER,"MONGA, SATDARSHAN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$241,790"
Liver Cancer,2011,NCI,5R01CA134892-03,,Lipid-Peroxidation Induced Cyclic Adducts in Hepatocarcinogenesis,"CHUNG, FUNG-LUNG",GEORGETOWN UNIVERSITY,DC,"$420,347"
Liver Cancer,2011,NIDDK,5R21DK083560-02,,FUSE Binding Protein As a Cellular Effector of HCV Replication,"PANDEY, VIRENDRA",UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,NJ,"$231,660"
Liver Cancer,2011,NIDDK,5R01DK078922-02,,Pathogenesis and Treatment of Liver Disease in Transaldolase Deficiency,"PERL, ANDRAS",UPSTATE MEDICAL UNIVERSITY,NY,"$327,653"
Liver Cancer,2011,NCI,5R21CA143714-02,,Inhibition of B-Catenin Signaling for Treatment of Hepatocellular Carcinoma,"SIMON, JULIAN",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$185,658"
Liver Cancer,2011,NCI,5R01CA112192-05,,Real-time Ultrasonic Monitoring of Tumor Ablation,"VARGHESE, TOMY",UNIVERSITY OF WISCONSIN MADISON,WI,"$239,149"
Liver Cancer,2011,NCI,5R01CA133086-03,,Molecular Target for Liver Cancer Diagnosis and Therapy,"LIU, CHEN",UNIVERSITY OF FLORIDA,FL,"$294,868"
Liver Cancer,2011,NCI,5R01CA080946-12,,Selenoproteins as Targets for Cancer Prevention,"GLADYSHEV, VADIM",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$284,449"
Liver Cancer,2011,NCI,5R01CA039225-26,,HEPATIC OVAL CELLS IN CULTURE AND IN VIVO,"SIRICA, ALPHONSE",VIRGINIA COMMONWEALTH UNIVERSITY,VA,"$280,284"
Liver Cancer,2011,NCI,5R01CA140369-02,,Modulation of liver cancer by PPARbeta/delta,"PETERS, JEFFREY",PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,PA,"$293,080"
Liver Cancer,2011,NCI,5R01CA118761-05,,p53 and pathways of apoptosis,"GEORGE, DONNA",UNIVERSITY OF PENNSYLVANIA,PA,"$290,273"
Liver Cancer,2011,NCI,5R01CA141047-02,,MRI of Iron-labeled Microsphere Biodistribution for Radioembolization Dosimetry,"LARSON, ANDREW",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$298,058"
Liver Cancer,2011,NIDDK,5R01DK083380-02,,Technical Development of Quantitative Biomarkers of Fatty Liver Disease with MRI,"REEDER, SCOTT",UNIVERSITY OF WISCONSIN MADISON,WI,"$298,680"
Liver Cancer,2011,NCI,5R21CA153147-02,,Role of Autotaxin in HCV-associated Hepatocellular Carcinoma,"KAUSHIK-BASU, NEERJA",UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,NJ,"$197,473"
Liver Cancer,2011,NCI,5K01CA118722-05,,Mechanism of nitric oxide inhibition of pericyte recruitment in liver tumors,"KANG, NINGLING",MAYO CLINIC,MN,"$129,408"
Liver Cancer,2011,NCCAM,5R01AT001576-09,,ROLE OF SAMe IN LIVER FUNCTION AND INJURY,"LU, SHELLY",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$345,311"
Liver Cancer,2011,NIDDK,5R01DK052825-13,,Signaling Pathways Regulating Epithelial Cell Survival,"DENT, PAUL",VIRGINIA COMMONWEALTH UNIVERSITY,VA,"$286,823"
Liver Cancer,2011,NCI,1R21CA158539-01,,"NcoA5, a unique nuclear receptor coactivator in hepatocarcinogenesis","XIAO, HUA",MICHIGAN STATE UNIVERSITY,MI,"$190,419"
Liver Cancer,2011,NCI,1R21CA158661-01,,Epigenetic Regulation Of Sex-dependent Liver Cancer,"ROGERS, ARLIN",UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,NC,"$193,140"
Liver Cancer,2011,NCI,1R21CA159047-01,,Serum microRNA signature as prospective HCC biomarker in HBV patients,"YANG, HUSHAN",THOMAS JEFFERSON UNIVERSITY,PA,"$202,275"
Liver Cancer,2011,NCI,5R01CA134568-03,,Omega-3 Fatty Acids and Hepatic Carcinogenesis,"WU, TONG",TULANE UNIVERSITY OF LOUISIANA,LA,"$302,919"
Liver Cancer,2011,NIDDK,5F30DK083235-04,,Targeting the WntBeta-catenin Pathway in Liver Cancer,"THOMPSON, MICHAEL",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$46,800"
Liver Cancer,2011,NCI,1R01CA159178-01,,Quantitative MRI-Guided Nanoembolization for Liver Cancer,"OMARY, REED",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$543,324"
Liver Cancer,2011,NCI,5R01CA106280-07,,Prostaglandin Signaling Pathway in Liver Cancer,"WU, TONG",TULANE UNIVERSITY OF LOUISIANA,LA,"$238,311"
Liver Cancer,2011,NIDDK,5R37DK046971-19,,C/EBP beta SIGNALS HEPATOCYTE PROLIFERATION AND SURVIVAL,"CHOJKIER, MARIO",VETERANS MEDICAL RESEARCH FDN/SAN DIEGO,CA,"$344,015"
Liver Cancer,2011,NIAAA,5R21AA019740-02,,Peripherally Selective CB1 Receptor Antagonists for Alcoholic Liver Disease,"MAITRA, RANGAN",RESEARCH TRIANGLE INSTITUTE,NC,"$287,770"
Liver Cancer,2011,NCI,5R01CA122499-05,,Oxidative Stress and Hepatocellular Carcinoma,"HUANG, TING-TING","PALO ALTO INSTITUTE FOR RES & EDU, INC.",CA,"$258,020"
Liver Cancer,2011,NCI,5R01CA102325-07,,cPLA2alpha and COX-2 in Cholangiocarcinoma,"WU, TONG",TULANE UNIVERSITY OF LOUISIANA,LA,"$233,820"
Liver Cancer,2011,NIGMS,5R01GM041628-24,,Biochemistry of Eukaryotic Messenger RNA Synthesis,"CONAWAY, RONALD",STOWERS INSTITUTE FOR MEDICAL RESEARCH,MO,"$389,590"
Liver Cancer,2011,NCI,5R21CA143748-02,,Regulation of hepatic NKT cells by CDld+ liver cells,"EXLEY, MARK",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$183,549"
Liver Cancer,2011,NCI,5R21CA153176-02,,Metabolomic and Integromic Approaches to Identify Fingerprints for Early Detectio,"RESSOM, HABTOM",GEORGETOWN UNIVERSITY,DC,"$161,923"
Liver Cancer,2011,NCI,7R03CA143656-02,,Histone methyltransferase G9a in liver pathophysiology and carcinogenesis,"LU, HONG",UPSTATE MEDICAL UNIVERSITY,NY,"$77,358"
Liver Cancer,2011,NIDDK,5K01DK078532-06,,Endocannabinoid Regulation of Cholangiocarcinoma Cell Growth,"DEMORROW, SHARON",TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,TX,"$126,973"
Liver Cancer,2011,NCI,5R01CA138635-02,,Multiple Tumor Antigen-loaded DC Vaccine for Hepatocellular Cancer,"BUTTERFIELD, LISA",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$291,196"
Liver Cancer,2011,NCI,5R01CA035373-29,,"HGF in Liver Development, Regeneration and Neoplasia","MICHALOPOULOS, GEORGE",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$319,227"
Liver Cancer,2011,NCI,5R01CA127228-05,,Mechanisms of PDGF-C Induced Hepatocellular Carcinogenesis,"CAMPBELL, JEAN",UNIVERSITY OF WASHINGTON,WA,"$287,508"
Liver Cancer,2011,NCI,5R01CA151366-02,,Mechanism of DLC1-mediated tumor suppression,"LO, SU HAO",UNIVERSITY OF CALIFORNIA DAVIS,CA,"$308,790"
Liver Cancer,2011,NIGMS,5R01GM086746-02,,Quantitative analysis of LC-MS data for peptide and glycan biomarker discovery,"RESSOM, HABTOM",GEORGETOWN UNIVERSITY,DC,"$265,939"
Liver Cancer,2011,NCI,5R03CA153099-02,,Inflammation Variants and Risk of Hepatocellular Carcinoma in HBV Patients,"YANG, HUSHAN",THOMAS JEFFERSON UNIVERSITY,PA,"$75,175"
Liver Cancer,2011,NCI,5R01CA136567-02,,Decoding the MST1 and MST2 kinases in cellular physiology and tumor suppression,"AVRUCH, JOSEPH",MASSACHUSETTS GENERAL HOSPITAL,MA,"$648,642"
Liver Cancer,2011,NIEHS,5F32ES017568-03,,Development sensitivity to PPARalpha agonist-induced liver cancer,"FOREMAN, JENNIFER",PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,PA,"$54,734"
Liver Cancer,2011,NCI,7R01CA124377-05,,An Integrated System for Image-Guided Radiofrequency Ablation of Liver Tumors,"CLEARY, KEVIN",CHILDREN'S RESEARCH INSTITUTE,DC,"$343,716"
Liver Cancer,2011,NIAID,5R01AI079060-03,,Immunological Priming to Hepatitis B Virus,"ISOGAWA, MASANORI",SCRIPPS RESEARCH INSTITUTE,CA,"$465,302"
Liver Cancer,2011,NCI,5R01CA121163-06,,MR-Image Guided Focused Ultrasound for Treatment of Liver and Renal Cancer,"PAULY, KIM",STANFORD UNIVERSITY,CA,"$744,073"
Liver Cancer,2011,NCI,5R01CA039416-26,,Molecular Mechanisms of Chemoprevention:  NRF2 Signaling,"KENSLER, THOMAS",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$494,232"
Liver Cancer,2011,NCI,1R01CA159942-01A1,,Role of Age in Liver Cancer,"TIMCHENKO, NIKOLAI",BAYLOR COLLEGE OF MEDICINE,TX,"$324,738"
Liver Cancer,2011,NCI,5R01CA129763-05,,A Randomized Trial of Hep B Screening and Vaccination in High Risk Vietnamese,"MA, GRACE",TEMPLE UNIVERSITY,PA,$1
Liver Cancer,2011,NCI,5R01CA135069-03,,Glycans in Hepatocellular Carcinoma,"GOLDMAN, RADOSLAV",GEORGETOWN UNIVERSITY,DC,"$393,651"
Liver Cancer,2011,NCI,5R25CA129042-04,,Asian American Liver Cancer Education Program in  Maryland,"JUON, HEE-SOON",JOHNS HOPKINS UNIVERSITY,MD,"$274,632"
Liver Cancer,2011,NCI,1R21CA141105-01A2,,Hepatitis D virus genomic RNA in the etiology of liver cancer,"GAREN, ALAN",YALE UNIVERSITY,CT,"$216,086"
Liver Cancer,2011,NCI,1R21CA152275-01A1,,Novel Dynamic Liver Imaging Method with Flexible Temporal and Spatial Resolution,"SPINCEMAILLE, PASCAL",WEILL MEDICAL COLLEGE OF CORNELL UNIV,NY,"$220,545"
Liver Cancer,2011,NCI,1R21CA152555-01A1,,Reduced Temperature Thermal Ablation for HCC and other Liver Tumors,"BORRELLI, MICHAEL",UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK,AR,"$157,688"
Liver Cancer,2011,NCI,1R21CA152514-01A1,,HCV Strain Variation and HCC,"BRANCH, ANDREA",MOUNT SINAI SCHOOL OF MEDICINE,NY,"$221,198"
Liver Cancer,2011,NCI,5R21CA152589-02,,Sex Chromosomes and Gender Disparity in HBV-Related Hepatocellular Carcinoma,"LAU, YUN-FAI CHRIS",NORTHERN CALIFORNIA INSTITUTE RES & EDUC,CA,"$125,066"
Liver Cancer,2011,NIDDK,5R01DK087877-02,,Detection of Liver Fibrosis Using IVIM Diffusion and DCE MRI in HCV,"TAOULI, BACHIR",MOUNT SINAI SCHOOL OF MEDICINE,NY,"$337,950"
Liver Cancer,2011,NCI,5R01CA138698-02,,Epidemiologic Study of Hepatocellular Carcinoma in the US,"YU, HERBERT",YALE UNIVERSITY,CT,"$537,816"
Liver Cancer,2011,NCI,5R44CA134169-04,,Precisely Shaped Acoustic Ablation of Tumors Under 3D Ultrasound Image Guidance,"BURDETTE, EVERETTE","ACOUSTIC MEDSYSTEMS, INC.",IL,"$935,233"
Liver Cancer,2011,NCI,5F31CA130116-05,,Determining the Progenitor-Like Capacity of Liver Cancer Cells in vivo.,"PAULK, NICOLE",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$33,262"
Liver Cancer,2011,NCI,5K24CA139570-02,,A Multidisciplinary and Translational Approach to Hepatobiliary Malignancy,"NELSON, DAVID",UNIVERSITY OF FLORIDA,FL,"$186,940"
Liver Cancer,2011,NCI,5R01CA153073-02,,The Effect of Aflatoxin Regulation on Global Liver Cancer Risk,"WU, FELICIA",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$233,389"
Liver Cancer,2011,NIDDK,5R01DK076986-05,,Integrative genomic analysis in hepatocellular carcinoma,"LLOVET, JOSEP",MOUNT SINAI SCHOOL OF MEDICINE,NY,"$242,852"
Liver Cancer,2011,NCRR,5R01RR025386-03,,Mass Spectrometry Strategies to Identify Lipid Biomarkers of Disease,"REID, GAVIN",MICHIGAN STATE UNIVERSITY,MI,"$335,195"
Liver Cancer,2011,NIAAA,1F31AA019842-01A1,,The Role of Ribosome Biogenesis Factors in Liver Cirrhosis,"FREED, EMILY",YALE UNIVERSITY,CT,"$26,232"
Liver Cancer,2011,NIDDK,1F31DK091980-01,,The Contribution of Activated Hepatic Stellate Cells to Hepatocarcinogenesis,"DAPITO, DIANNE",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$41,800"
Liver Cancer,2011,NCI,5R01CA126809-04,,Functional MRI Monitoring of Hepatic Chemoembolization,"OMARY, REED",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$303,925"
Liver Cancer,2011,NCI,5K01CA140861-03,,The Role of EGF in Human Hepatocellular Transformation,"FUCHS, BRYAN",MASSACHUSETTS GENERAL HOSPITAL,MA,"$143,848"
Liver Cancer,2011,NIDDK,5K01DK079875-05,,Cholangiocyte microRNAs Regulate Mcl-1 and Cell Death,"MOTT, JUSTIN",MAYO CLINIC,MN,"$132,268"
