Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Colo-Rectal Cancer,2009,NIDDK,5K08DK074557-04,,Ets transcription factors in intestinal biology,"JEDLICKA, PAUL",UNIVERSITY OF COLORADO DENVER,CO,"$134,730"
Colo-Rectal Cancer,2009,NCI,5R01CA124693-02,,Chemoprevention of Colitis-Associated Neoplasia by 5-ASA,"CLAPPER, MARGIE",FOX CHASE CANCER CENTER,PA,"$361,915"
Colo-Rectal Cancer,2009,NIDDK,5K01DK076742-03,,Proliferative Responses to Enteric Bacterial Pathogens in Intestinal Tissues,"MCCONNELL, BETH",EMORY UNIVERSITY,GA,"$122,439"
Colo-Rectal Cancer,2009,NCI,5R01CA131041-02,,Evaluating a Preference-Tailored Intervention to Increase CRC Screening,"HAWLEY, SARAH",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$624,184"
Colo-Rectal Cancer,2009,NCI,1R01CA138623-01,,Role of leukotriene B4 receptors in the interplay of inflammation and infection,"BODDULURI, HARIBABU",UNIVERSITY OF LOUISVILLE,KY,"$305,955"
Colo-Rectal Cancer,2009,NIDDK,5R01DK045496-17,,PHYSIOLOGY AND CLONING OF B FRAGILIS ENTEROTOXIN,"SEARS, CYNTHIA",JOHNS HOPKINS UNIVERSITY,MD,"$319,921"
Colo-Rectal Cancer,2009,NCI,5R01CA120316-03,,Mapping Gene Networks in Colon Cancer,"LEE, NORMAN",GEORGE WASHINGTON UNIVERSITY,DC,"$399,978"
Colo-Rectal Cancer,2009,NIDDK,5R01DK040247-17,,Intestinal Adaptation-Role of Hormones & Growth Factors,"LUND, PAULINE",UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,NC,"$355,749"
Colo-Rectal Cancer,2009,NCI,5R01CA092423-08,,No-Releasing Aspirin and Colon Cancer Prevention,"RIGAS, BASIL",STATE UNIVERSITY NEW YORK STONY BROOK,NY,"$328,058"
Colo-Rectal Cancer,2009,NCI,5F32CA130309-03,,Molecular optical coherence tomography for monitoring cancer therapy,"SKALA, MELISSA",DUKE UNIVERSITY,NC,"$50,054"
Colo-Rectal Cancer,2009,NCI,5R01CA127893-02,,"Enterococcus faecalis, Colorectal Cancer, and Bystander Effects","HUYCKE, MARK",UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OK,"$261,450"
Colo-Rectal Cancer,2009,NCI,5R01CA059045-12,,Genome-Wide Association Study of Nonsynonymous SNPs in Colon Cancer,"PETERS, ULRIKE",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$735,459"
Colo-Rectal Cancer,2009,NCI,5R01CA109019-05,,Tumor suppression by sphingolipids: role of beta-catenin,"SCHMELZ, EVA",VIRGINIA POLYTECHNIC INST AND ST UNIV,VA,"$263,002"
Colo-Rectal Cancer,2009,NCI,5R01CA070759-10,,Molecular Genetics of HNPCC,"FRAZIER, MARSHA",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$567,963"
Colo-Rectal Cancer,2009,NIDDK,5R01DK071976-03,,GKLF/Beta-catenin crosstalk in the intestine,"LIU, CHUNMING",UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,TX,"$258,965"
Colo-Rectal Cancer,2009,NCI,5K07CA113494-05,,Molecular profiles of colorectal adenomas by array CGH,"HOSTETTER, GALEN",TRANSLATIONAL GENOMICS RESEARCH INST,AZ,"$127,656"
Colo-Rectal Cancer,2009,NCI,5R01CA044013-19,,Thymidylate Synthase and Fluorodeoxyuridine Resistance,"BERGER, FRANKLIN",UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,SC,"$184,464"
Colo-Rectal Cancer,2009,NCI,1R03CA130089-01A1,,Statistical methods for colorectal neoplastic prevention trials,"HSU, CHIU-HSIEH",UNIVERSITY OF ARIZONA,AZ,"$75,500"
Colo-Rectal Cancer,2009,NIDDK,5R01DK062112-09,,Nuclear Hormone Receptor in Intestinal Biology,"DUBOIS, RAYMOND",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$309,386"
Colo-Rectal Cancer,2009,NCI,5R03CA136067-02,,Effects of Generational Exposure of Soy Diets on Epigenetic Landscape in Colon Ca,"CHEN, HONG",UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,IL,"$74,205"
Colo-Rectal Cancer,2009,NCI,5R03CA135262-02,,Gene-Specific Epigenetic Programming of WNT Signaling Pathway by Dietary Soy,"CHEN, HONG",UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,IL,"$74,205"
Colo-Rectal Cancer,2009,NCI,5R01CA131413-03,,Beta-Catenin/NF-kB in Hyperplasia/Neoplasia of Colonic Crypts: Chemoprevention,"UMAR, SHAHID",UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OK,"$304,788"
Colo-Rectal Cancer,2009,NIDDK,5R01DK054942-09,,Identifying colon cancer modifier genes with zebrafish,"PACK, MICHAEL",UNIVERSITY OF PENNSYLVANIA,PA,"$329,292"
Colo-Rectal Cancer,2009,NCI,5R03CA132168-02,,DISCOVERY AND EVALUATION OF NOVEL TRITERPENOID CHEMOPREVENTIVES IN A NEW COLON CA,"TOCHTROP, GREGORY",CASE WESTERN RESERVE UNIVERSITY,OH,"$78,500"
Colo-Rectal Cancer,2009,NCI,1K99CA138905-01,,RNA localization and tumor suppression by APC,"MILI, STAVROULA",UNIVERSITY OF VIRGINIA CHARLOTTESVILLE,VA,"$97,808"
